0x03C2	DDC 3 Phase Increment Fractional A2
0x03C3	DDC 3 Phase Increment Fractional A3
0x03C4	DDC 3 Phase Increment Fractional A4
0x03C5	DDC 3 Phase Increment Fractional A5
0x03C8	DDC 3 Phase Increment Fractional B0
0x03C9	DDC 3 Phase Increment Fractional B1
0x03CA	DDC 3 Phase Increment Fractional B2
0x03CB	DDC 3 Phase Increment Fractional B3
0x03CC	DDC 3 Phase Increment Fractional B4
0x03CD	DDC 3 Phase Increment Fractional B5
0x0550	ADC test mode control (local)	
0x0551	User Pattern 1 LSB
0x0552	User Pattern 1 MSB
0x0553	User Pattern 2 LSB
0x0554	User Pattern 2 MSB
0x0555	User Pattern 3 LSB
0x0556	User Pattern 3 MSB
0x0557	User Pattern 4 LSB
0x0558	User Pattern 4 MSB
0x0559	Output Mode Control 1
0x055A	Output Mode Control 2
0x0561	Output sample mode
0x0562	Output overrange clear
0x0563	Output overrange status
0x0564	Output channel select
0x056E	PLL control
0x056F	PLL status
0x0571	JESD204B Link Control 1
0x0572	JESD204B Link Control 2
0x0573	JESD204B Link Control 3
0x0574	JESD204B Link Control 4
0x0578	JESD204B LMFC offset
0x0580	JESD204B device identification (DID) config- uration
0x0581	JESD204B bank identification (BID) config- uration
0x0583	JESD204B Lane Identification 0 (LID0) config- uration
0x0584	JESD204B LID1 configuration
0x0585	JESD204B LID2 configuration
0x0586	JESD204B LID3 configuration
0x058B	JESD204B scrambling and number of lanes(L) configuration
0x058C	JESD204B link number of octets per frames (F)
0x058D	JESD204B link number of frames per multiframe (K)
0x058E	JESD204B link number of converters (M)
0x058F	JESD204B number Of control bits (CS) and ADC resolution (N)
0x0590	JESD204B SCV NP configuration
0x0591	JESD204B JV S configuration
0x0592	JESD204B HD CF configuration
0x05A0	JESD204B Checksum 0 configuration
0x05A1	JESD204B Checksum 1 configuration
0x05A2	JESD204B Checksum 2 configuration
0x05A3	JESD204B Checksum 3 configuration
0x05B0	JESD204B lane power-down
0x05B2	JESD204B Lane Assignment 1
0x05B3	JESD204B Lane Assignment 2
0x05B5	JESD204B Lane Assignment 3
0x05B6	JESD204B Lane Assignment 4
0x05BF	SERDOUTx± data invert
0x05C0	JESD204B Swing Adjust 1
0x05C1	JESD204B Swing Adjust 2
0x05C2	JESD204B Swing Adjust 3
0x05C3	JESD204B Swing Adjust 4
0x05C4	SERDOUT0± pre-emphasis select
0x05C6	SERDOUT1± pre-emphasis select
0x05C8	SERDOUT2± pre-emphasis select
0x05CA	SERDOUT3± pre-emphasis select
0x1222	JESD204B PLL calibration
0x1228	JESD204B PLL start-up control
0x1262	JESD204B PLL LOL bit control
0x0DF8	Programmable filter control
0x0DF9	PFILT gain
0x0E00 to 0x0E7F Programmable Filter X Coefficient x
0x0F00 to 0x0F7F Programmable Filter Y Coefficient x
0x0701	DC Offset Calibration	Control 1 (local)
0x073B	DC Offset Calibration Control 2 (local)
0x18A6	VREF control
0x18E3	External VCM buffer control
0x18E6	Temperature diode export
0x1908	Analog input control (local)
0x1910	Input full-scale control (local)
0x1A4C	Buffer Control 1 (local)
0x1A4D	Buffer Control 2 (local)
0x1B03	Buffer Control 3 (local)
0x1B08	Buffer Control 4 (local)
0x1B10	Buffer Control 5 (local)
